
Branch,Degree,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamental,Coding,Placement Status
Mechanical Engineering,B. Tech.,428,38 %,53 %,33 %,27 %,40 %,13 %,00 %,
Mechanical Engineering,B. Tech.,425,33 %,33 %,40 %,27 %,80 %,20 %,00 %,
Mechanical Engineering,B. Tech.,425,33 %,27 %,13 %,60 %,50 %,20 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,425,38 %,27 %,47 %,40 %,30 %,07 %,00 %,
Computer Science Engineering,B. Tech.,425,36 %,40 %,27 %,40 %,30 %,60 %,00 %,
Electrical Engineering,B. Tech.,425,38 %,33 %,40 %,40 %,25 %,13 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,422,36 %,40 %,33 %,33 %,50 %,27 %,00 %,
Electrical Engineering,B. Tech.,422,33 %,40 %,27 %,33 %,50 %,40 %,00 %,
Mechanical Engineering,B. Tech.,422,33 %,53 %,27 %,20 %,45 %,20 %,00 %,
Mechanical Engineering,B. Tech.,422,31 %,27 %,20 %,47 %,75 %,33 %,00 %,
Information Technology,B. Tech.,422,36 %,47 %,33 %,27 %,50 %,27 %,00 %,
Electrical Engineering,B. Tech.,422,31 %,27 %,27 %,40 %,20 %,53 %,00 %,
Computer Science Engineering,B. Tech.,419,33 %,40 %,27 %,33 %,30 %,47 %,00 %,
MCA,MCA,419,33 %,33 %,20 %,47 %,35 %,53 %,32 %,
Mechanical Engineering,B. Tech.,416,31 %,27 %,27 %,40 %,55 %,33 %,00 %,
Mechanical Engineering,B. Tech.,416,33 %,40 %,33 %,27 %,30 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,413,31 %,20 %,20 %,53 %,35 %,40 %,00 %,
Electrical Engineering,B. Tech.,413,31 %,27 %,60 %,07 %,50 %,20 %,20 %,
Applied Electronics and Instrumentation,B. Tech.,410,31 %,47 %,27 %,20 %,30 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,407,31 %,40 %,13 %,40 %,30 %,33 %,20 %,
Mechanical Engineering,B. Tech.,407,31 %,40 %,33 %,20 %,55 %,33 %,00 %,
Electrical Engineering,B. Tech.,407,29 %,20 %,20 %,47 %,30 %,47 %,00 %,
Mechanical Engineering,B. Tech.,404,31 %,40 %,27 %,27 %,40 %,40 %,00 %,
Mechanical Engineering,B. Tech.,404,31 %,27 %,33 %,33 %,30 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,404,29 %,27 %,27 %,33 %,20 %,27 %,20 %,
Electrical Engineering,B. Tech.,401,31 %,33 %,33 %,27 %,55 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,401,29 %,27 %,07 %,53 %,40 %,73 %,20 %,
Mechanical Engineering,B. Tech.,401,31 %,27 %,53 %,13 %,45 %,33 %,00 %,
Electrical Engineering,B. Tech.,395,29 %,20 %,47 %,20 %,25 %,13 %,00 %,
Information Technology,B. Tech.,392,29 %,47 %,07 %,33 %,15 %,07 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,392,29 %,40 %,13 %,33 %,40 %,40 %,00 %,
MCA,MCA,389,27 %,07 %,27 %,47 %,25 %,33 %,96 %,
Electrical Engineering,B. Tech.,383,27 %,00 %,53 %,27 %,35 %,33 %,20 %,
Applied Electronics and Instrumentation,B. Tech.,380,27 %,27 %,33 %,20 %,25 %,33 %,00 %,
Mechanical Engineering,B. Tech.,371,24 %,13 %,33 %,27 %,30 %,20 %,00 %,
Information Technology,B. Tech.,368,24 %,13 %,13 %,47 %,10 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,356,20 %,47 %,00 %,13 %,10 %,20 %,00 %,
Electrical Engineering,B. Tech.,353,22 %,20 %,13 %,33 %,25 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,344,20 %,47 %,07 %,07 %,40 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,278,07 %,00 %,20 %,00 %,15 %,00 %,20 %,
Computer Science Engineering,B. Tech.,587,58 %,67 %,40 %,67 %,60 %,73 %,92 %,Placed
Electronics and Communications Engineering,B. Tech.,572,71 %,67 %,80 %,67 %,50 %,47 %,20 %,
Computer Science Engineering,B. Tech.,554,69 %,73 %,60 %,73 %,40 %,27 %,00 %,
Computer Science Engineering,B. Tech.,554,73 %,73 %,80 %,67 %,30 %,53 %,20 %,
Civil Engineering,B. Tech.,548,58 %,93 %,27 %,53 %,40 %,40 %,00 %,
Electrical Engineering,B. Tech.,548,60 %,73 %,27 %,80 %,35 %,47 %,20 %,
Electrical Engineering,B. Tech.,542,60 %,73 %,47 %,60 %,45 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,542,60 %,67 %,47 %,67 %,45 %,40 %,00 %,
Computer Science Engineering,B. Tech.,539,64 %,73 %,33 %,87 %,20 %,40 %,20 %,
Electronics and Communications Engineering,B. Tech.,539,53 %,53 %,20 %,87 %,40 %,27 %,94 %,
Mechanical Engineering,B. Tech.,536,58 %,80 %,67 %,27 %,70 %,33 %,00 %,
Computer Science Engineering,B. Tech.,536,53 %,53 %,47 %,60 %,25 %,60 %,60 %,Placed
Electrical Engineering,B. Tech.,533,58 %,53 %,40 %,80 %,30 %,40 %,00 %,
Electrical Engineering,B. Tech.,533,56 %,67 %,53 %,47 %,55 %,33 %,20 %,
Electronics and Communications Engineering,B. Tech.,530,53 %,60 %,27 %,73 %,50 %,40 %,00 %,
Computer Science Engineering,B. Tech.,527,53 %,60 %,33 %,67 %,25 %,33 %,58 %,
Mechanical Engineering,B. Tech.,521,53 %,60 %,33 %,67 %,65 %,33 %,00 %,
Mechanical Engineering,B. Tech.,518,51 %,47 %,33 %,73 %,35 %,33 %,20 %,
Electronics and Communications Engineering,B. Tech.,518,51 %,60 %,40 %,53 %,40 %,47 %,60 %,
Mechanical Engineering,B. Tech.,515,53 %,67 %,53 %,40 %,45 %,13 %,00 %,
Electrical Engineering,B. Tech.,512,49 %,73 %,20 %,53 %,55 %,33 %,20 %,
Electrical Engineering,B. Tech.,512,51 %,40 %,60 %,53 %,60 %,27 %,58 %,
Electronics and Communications Engineering,B. Tech.,512,53 %,80 %,33 %,47 %,45 %,27 %,20 %,
Mechanical Engineering,B. Tech.,509,53 %,53 %,73 %,33 %,75 %,40 %,00 %,
Mechanical Engineering,B. Tech.,509,56 %,67 %,40 %,60 %,55 %,33 %,00 %,
Mechanical Engineering,B. Tech.,509,60 %,73 %,40 %,67 %,45 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,509,56 %,67 %,67 %,33 %,45 %,40 %,20 %,
Electronics and Communications Engineering,B. Tech.,506,58 %,87 %,40 %,47 %,40 %,40 %,00 %,
Electrical Engineering,B. Tech.,506,53 %,87 %,27 %,47 %,30 %,40 %,00 %,
Mechanical Engineering,B. Tech.,503,51 %,40 %,40 %,73 %,40 %,20 %,00 %,
Computer Science Engineering,B. Tech.,503,49 %,60 %,40 %,47 %,50 %,47 %,20 %,
Mechanical Engineering,B. Tech.,503,49 %,40 %,40 %,67 %,50 %,47 %,00 %,
Computer Science Engineering,B. Tech.,500,49 %,60 %,33 %,53 %,40 %,60 %,20 %,
Mechanical Engineering,B. Tech.,500,56 %,47 %,47 %,73 %,45 %,27 %,00 %,
Electrical Engineering,B. Tech.,500,51 %,53 %,53 %,47 %,45 %,20 %,00 %,
Mechanical Engineering,B. Tech.,500,47 %,47 %,60 %,33 %,65 %,53 %,00 %,
Electrical Engineering,B. Tech.,500,49 %,73 %,47 %,27 %,25 %,27 %,00 %,
Computer Science Engineering,B. Tech.,497,49 %,53 %,40 %,53 %,30 %,27 %,20 %,
Mechanical Engineering,B. Tech.,494,49 %,53 %,27 %,67 %,35 %,13 %,00 %,
Mechanical Engineering,B. Tech.,494,51 %,60 %,40 %,53 %,40 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,491,56 %,80 %,40 %,47 %,30 %,20 %,00 %,
Mechanical Engineering,B. Tech.,491,44 %,60 %,27 %,47 %,60 %,40 %,00 %,
Mechanical Engineering,B. Tech.,488,47 %,27 %,53 %,60 %,55 %,20 %,00 %,
Mechanical Engineering,B. Tech.,488,47 %,40 %,47 %,53 %,55 %,33 %,00 %,
Mechanical Engineering,B. Tech.,488,42 %,40 %,33 %,53 %,45 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,488,51 %,67 %,40 %,47 %,50 %,13 %,20 %,
Civil Engineering,B. Tech.,488,49 %,53 %,33 %,60 %,50 %,33 %,00 %,
Mechanical Engineering,B. Tech.,488,51 %,67 %,47 %,40 %,35 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,485,47 %,73 %,27 %,40 %,30 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,485,42 %,73 %,07 %,47 %,35 %,40 %,20 %,
Mechanical Engineering,B. Tech.,482,44 %,73 %,27 %,33 %,40 %,60 %,00 %,
Electronics and Communications Engineering,B. Tech.,482,49 %,47 %,47 %,53 %,35 %,33 %,00 %,
Mechanical Engineering,B. Tech.,482,49 %,60 %,07 %,80 %,25 %,33 %,00 %,
Electrical Engineering,B. Tech.,479,42 %,47 %,13 %,67 %,35 %,20 %,20 %,
Mechanical Engineering,B. Tech.,476,47 %,33 %,40 %,67 %,45 %,33 %,00 %,
Electrical Engineering,B. Tech.,476,47 %,73 %,13 %,53 %,35 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,476,42 %,60 %,00 %,67 %,45 %,33 %,60 %,
Mechanical Engineering,B. Tech.,473,49 %,53 %,13 %,80 %,15 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,473,44 %,53 %,20 %,60 %,45 %,40 %,00 %,
Mechanical Engineering,B. Tech.,473,44 %,53 %,60 %,20 %,65 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,473,44 %,67 %,27 %,40 %,30 %,20 %,00 %,
Mechanical Engineering,B. Tech.,473,47 %,47 %,40 %,53 %,35 %,27 %,00 %,
Computer Science Engineering,B. Tech.,473,49 %,47 %,47 %,53 %,30 %,20 %,00 %,
Computer Science Engineering,B. Tech.,470,47 %,20 %,67 %,53 %,30 %,33 %,40 %,
Mechanical Engineering,B. Tech.,470,42 %,60 %,27 %,40 %,60 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,470,42 %,33 %,40 %,53 %,30 %,40 %,00 %,
Computer Science Engineering,B. Tech.,467,42 %,47 %,40 %,40 %,30 %,47 %,00 %,
Electrical Engineering,B. Tech.,467,44 %,33 %,33 %,67 %,35 %,33 %,00 %,
Computer Science Engineering,B. Tech.,467,42 %,40 %,33 %,53 %,25 %,40 %,20 %,
Electronics and Communications Engineering,B. Tech.,467,47 %,27 %,53 %,60 %,45 %,33 %,00 %,
Computer Science Engineering,B. Tech.,467,47 %,33 %,47 %,60 %,10 %,20 %,00 %,
Computer Science Engineering,B. Tech.,464,47 %,53 %,00 %,87 %,30 %,47 %,00 %,
Civil Engineering,B. Tech.,464,40 %,47 %,27 %,47 %,65 %,33 %,00 %,
Computer Science Engineering,B. Tech.,464,42 %,67 %,27 %,33 %,15 %,27 %,20 %,
Mechanical Engineering,B. Tech.,464,40 %,53 %,07 %,60 %,60 %,33 %,00 %,
Electrical Engineering,B. Tech.,464,49 %,53 %,40 %,53 %,20 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,464,42 %,73 %,07 %,47 %,25 %,27 %,20 %,
Electronics and Communications Engineering,B. Tech.,461,42 %,53 %,33 %,40 %,35 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,461,44 %,67 %,20 %,47 %,35 %,27 %,00 %,
Mechanical Engineering,B. Tech.,461,44 %,60 %,53 %,20 %,50 %,13 %,00 %,
Electrical Engineering,B. Tech.,461,42 %,53 %,27 %,47 %,20 %,67 %,00 %,
Electronics and Communications Engineering,B. Tech.,461,40 %,60 %,20 %,40 %,45 %,33 %,00 %,
Computer Science Engineering,B. Tech.,461,40 %,53 %,20 %,47 %,45 %,33 %,20 %,
Mechanical Engineering,B. Tech.,461,40 %,47 %,07 %,67 %,40 %,27 %,00 %,
Computer Science Engineering,B. Tech.,461,42 %,47 %,27 %,53 %,30 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,461,40 %,47 %,27 %,47 %,40 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,458,44 %,40 %,27 %,67 %,40 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,458,42 %,53 %,13 %,60 %,50 %,40 %,00 %,
Civil Engineering,B. Tech.,458,42 %,53 %,27 %,47 %,35 %,07 %,00 %,
Mechanical Engineering,B. Tech.,458,40 %,67 %,00 %,53 %,30 %,33 %,00 %,
Mechanical Engineering,B. Tech.,455,40 %,40 %,33 %,47 %,25 %,27 %,00 %,
Mechanical Engineering,B. Tech.,455,42 %,60 %,20 %,47 %,20 %,27 %,00 %,
Civil Engineering,B. Tech.,455,40 %,47 %,27 %,47 %,45 %,13 %,00 %,
Mechanical Engineering,B. Tech.,452,42 %,40 %,33 %,53 %,40 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,452,40 %,47 %,27 %,47 %,30 %,20 %,20 %,
Mechanical Engineering,B. Tech.,452,42 %,73 %,13 %,40 %,45 %,20 %,00 %,
Mechanical Engineering,B. Tech.,452,38 %,53 %,20 %,40 %,35 %,33 %,00 %,
Electrical Engineering,B. Tech.,449,38 %,47 %,27 %,40 %,20 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,449,40 %,47 %,27 %,47 %,35 %,33 %,00 %,
Civil Engineering,B. Tech.,449,40 %,73 %,00 %,47 %,35 %,27 %,00 %,
Civil Engineering,B. Tech.,449,40 %,33 %,53 %,33 %,50 %,47 %,00 %,
Civil Engineering,B. Tech.,449,40 %,40 %,33 %,47 %,20 %,27 %,00 %,
Mechanical Engineering,B. Tech.,449,42 %,40 %,33 %,53 %,45 %,60 %,00 %,
Civil Engineering,B. Tech.,446,38 %,60 %,07 %,47 %,45 %,40 %,00 %,
Electrical Engineering,B. Tech.,446,40 %,40 %,13 %,67 %,25 %,20 %,00 %,
Computer Science Engineering,B. Tech.,446,38 %,47 %,13 %,53 %,40 %,40 %,00 %,
Civil Engineering,B. Tech.,443,40 %,53 %,13 %,53 %,50 %,07 %,00 %,
Computer Science Engineering,B. Tech.,443,38 %,53 %,13 %,47 %,35 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,443,38 %,73 %,27 %,13 %,25 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,443,38 %,47 %,33 %,33 %,45 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,443,40 %,53 %,27 %,40 %,35 %,27 %,20 %,
Electrical Engineering,B. Tech.,440,38 %,53 %,40 %,20 %,40 %,60 %,20 %,
Mechanical Engineering,B. Tech.,437,40 %,60 %,33 %,27 %,40 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,437,38 %,47 %,33 %,33 %,30 %,60 %,00 %,
Mechanical Engineering,B. Tech.,437,36 %,27 %,33 %,47 %,45 %,33 %,00 %,
Mechanical Engineering,B. Tech.,437,40 %,40 %,33 %,47 %,45 %,13 %,00 %,
Electrical Engineering,B. Tech.,437,36 %,60 %,07 %,40 %,40 %,40 %,00 %,
Computer Science Engineering,B. Tech.,434,36 %,27 %,47 %,33 %,30 %,47 %,20 %,
Mechanical Engineering,B. Tech.,434,36 %,33 %,27 %,47 %,50 %,20 %,00 %,
Mechanical Engineering,B. Tech.,434,36 %,47 %,27 %,33 %,60 %,07 %,00 %,
Civil Engineering,B. Tech.,434,38 %,40 %,07 %,67 %,45 %,27 %,00 %,
Mechanical Engineering,B. Tech.,431,40 %,60 %,27 %,33 %,35 %,00 %,00 %,
Electronics and Communications Engineering,B. Tech.,431,38 %,47 %,13 %,53 %,35 %,20 %,00 %,
Mechanical Engineering,B. Tech.,431,36 %,33 %,07 %,67 %,50 %,33 %,00 %,
Electrical Engineering,B. Tech.,431,38 %,47 %,27 %,40 %,35 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,431,33 %,60 %,07 %,33 %,30 %,20 %,00 %,
Civil Engineering,B. Tech.,428,36 %,67 %,00 %,40 %,45 %,27 %,00 %,
Civil Engineering,B. Tech.,428,36 %,33 %,47 %,27 %,50 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,428,38 %,60 %,20 %,33 %,45 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,428,38 %,53 %,33 %,27 %,40 %,27 %,00 %,
Mechanical Engineering,B. Tech.,428,38 %,33 %,40 %,40 %,30 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,428,36 %,20 %,53 %,33 %,50 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,425,36 %,27 %,27 %,53 %,10 %,47 %,00 %,
Civil Engineering,B. Tech.,425,36 %,20 %,40 %,47 %,30 %,27 %,00 %,
Electrical Engineering,B. Tech.,422,38 %,27 %,40 %,47 %,25 %,27 %,00 %,
Mechanical Engineering,B. Tech.,419,33 %,33 %,20 %,47 %,45 %,20 %,00 %,
Civil Engineering,B. Tech.,419,31 %,40 %,33 %,20 %,80 %,13 %,00 %,
Computer Science Engineering,B. Tech.,416,33 %,27 %,27 %,47 %,25 %,33 %,00 %,
Computer Science Engineering,B. Tech.,416,33 %,33 %,20 %,47 %,30 %,47 %,20 %,
Electrical Engineering,B. Tech.,413,33 %,40 %,33 %,27 %,30 %,40 %,20 %,
Mechanical Engineering,B. Tech.,413,33 %,60 %,13 %,27 %,40 %,13 %,00 %,
Mechanical Engineering,B. Tech.,413,33 %,47 %,20 %,33 %,30 %,27 %,00 %,
Electrical Engineering,B. Tech.,413,36 %,33 %,47 %,27 %,30 %,40 %,00 %,
Mechanical Engineering,B. Tech.,413,36 %,53 %,20 %,33 %,35 %,27 %,00 %,
Computer Science Engineering,B. Tech.,410,31 %,20 %,20 %,53 %,25 %,47 %,00 %,
Electrical Engineering,B. Tech.,410,33 %,47 %,27 %,27 %,35 %,07 %,00 %,
Electronics and Communications Engineering,B. Tech.,407,31 %,33 %,20 %,40 %,20 %,33 %,00 %,
Mechanical Engineering,B. Tech.,407,31 %,47 %,20 %,27 %,45 %,27 %,00 %,
Mechanical Engineering,B. Tech.,401,31 %,53 %,00 %,40 %,35 %,47 %,00 %,
Computer Science Engineering,B. Tech.,401,31 %,53 %,20 %,20 %,40 %,53 %,00 %,
Computer Science Engineering,B. Tech.,398,29 %,20 %,20 %,47 %,30 %,27 %,20 %,
Mechanical Engineering,B. Tech.,398,31 %,33 %,20 %,40 %,45 %,13 %,00 %,
Civil Engineering,B. Tech.,398,31 %,40 %,33 %,20 %,25 %,33 %,00 %,
Electrical Engineering,B. Tech.,392,27 %,40 %,27 %,13 %,20 %,40 %,00 %,
Electrical Engineering,B. Tech.,392,29 %,53 %,00 %,33 %,40 %,40 %,00 %,
Computer Science Engineering,B. Tech.,392,31 %,40 %,20 %,33 %,30 %,33 %,00 %,
Civil Engineering,B. Tech.,392,31 %,60 %,00 %,33 %,30 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,389,29 %,27 %,27 %,33 %,40 %,27 %,00 %,
Mechanical Engineering,B. Tech.,389,29 %,07 %,27 %,53 %,30 %,00 %,00 %,
Electrical Engineering,B. Tech.,389,29 %,13 %,40 %,33 %,10 %,00 %,00 %,
Mechanical Engineering,B. Tech.,386,29 %,47 %,33 %,07 %,25 %,33 %,00 %,
Computer Science Engineering,B. Tech.,386,29 %,53 %,00 %,33 %,30 %,47 %,00 %,
Electrical Engineering,B. Tech.,386,27 %,47 %,13 %,20 %,25 %,27 %,00 %,
Mechanical Engineering,B. Tech.,386,29 %,27 %,20 %,40 %,10 %,07 %,00 %,
Mechanical Engineering,B. Tech.,383,29 %,53 %,00 %,33 %,45 %,13 %,00 %,
Computer Science Engineering,B. Tech.,383,29 %,33 %,13 %,40 %,40 %,13 %,00 %,
Mechanical Engineering,B. Tech.,374,27 %,40 %,13 %,27 %,25 %,27 %,00 %,
Electrical Engineering,B. Tech.,374,27 %,47 %,00 %,33 %,40 %,20 %,00 %,
Computer Science Engineering,B. Tech.,359,24 %,47 %,00 %,27 %,20 %,47 %,20 %,
Mechanical Engineering,B. Tech.,350,22 %,40 %,00 %,27 %,40 %,27 %,00 %,
Electrical Engineering,B. Tech.,347,22 %,33 %,00 %,33 %,40 %,33 %,00 %,
Computer Science Engineering,B. Tech.,341,20 %,27 %,07 %,27 %,30 %,20 %,20 %,
Computer Science Engineering,B. Tech.,326,16 %,27 %,00 %,20 %,30 %,40 %,20 %,
Mechanical Engineering,B. Tech.,323,16 %,00 %,07 %,40 %,35 %,07 %,00 %,
Mechanical Engineering,B. Tech.,314,16 %,27 %,20 %,00 %,35 %,13 %,00 %,
Computer Science Engineering,B. Tech.,311,16 %,40 %,00 %,07 %,15 %,40 %,00 %,
Computer Science Engineering,B. Tech.,302,16 %,20 %,13 %,13 %,45 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,560,62 %,60 %,73 %,53 %,40 %,53 %,20 %,
Mechanical Engineering,B. Tech.,551,64 %,73 %,40 %,80 %,55 %,40 %,00 %,
Computer Science Engineering,B. Tech.,545,67 %,80 %,53 %,67 %,35 %,53 %,00 %,
Computer Science Engineering,B. Tech.,545,56 %,60 %,47 %,60 %,45 %,53 %,60 %,Placed
Computer Science Engineering,B. Tech.,542,62 %,47 %,67 %,73 %,45 %,40 %,20 %,
Electronics and Instrumentation Engineering,B. Tech.,539,62 %,73 %,40 %,73 %,60 %,20 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,536,64 %,73 %,67 %,53 %,35 %,40 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,536,60 %,87 %,33 %,60 %,40 %,20 %,00 %,
Mechanical Engineering,B. Tech.,536,67 %,60 %,47 %,93 %,30 %,33 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,533,62 %,60 %,40 %,87 %,15 %,40 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,533,60 %,73 %,53 %,53 %,50 %,20 %,00 %,
Computer Science Engineering,B. Tech.,533,62 %,73 %,73 %,40 %,30 %,33 %,20 %,
Mechanical Engineering,B. Tech.,527,69 %,67 %,80 %,60 %,40 %,33 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,524,64 %,67 %,60 %,67 %,25 %,20 %,00 %,
Computer Science Engineering,B. Tech.,524,58 %,73 %,40 %,60 %,55 %,40 %,20 %,
Electronics and Instrumentation Engineering,B. Tech.,524,56 %,67 %,53 %,47 %,45 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,521,60 %,73 %,60 %,47 %,35 %,27 %,20 %,
Electronics and Instrumentation Engineering,B. Tech.,521,62 %,73 %,40 %,73 %,30 %,20 %,00 %,
Electrical Engineering,B. Tech.,521,51 %,60 %,27 %,67 %,35 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,521,58 %,53 %,60 %,60 %,25 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,518,56 %,60 %,60 %,47 %,40 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,518,56 %,53 %,73 %,40 %,40 %,47 %,00 %,
Mechanical Engineering,B. Tech.,515,56 %,73 %,40 %,53 %,45 %,20 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,515,56 %,60 %,47 %,60 %,40 %,47 %,00 %,
Computer Science Engineering,B. Tech.,512,56 %,67 %,47 %,53 %,25 %,40 %,00 %,
Information Technology,B. Tech.,509,56 %,67 %,47 %,53 %,30 %,33 %,00 %,
Information Technology,B. Tech.,509,53 %,47 %,47 %,67 %,45 %,40 %,20 %,
Electrical Engineering,B. Tech.,506,58 %,87 %,33 %,53 %,20 %,40 %,00 %,
Mechanical Engineering,B. Tech.,506,56 %,87 %,33 %,47 %,40 %,27 %,00 %,
Computer Science Engineering,B. Tech.,506,53 %,27 %,80 %,53 %,35 %,20 %,00 %,
Computer Science Engineering,B. Tech.,503,51 %,67 %,60 %,27 %,65 %,40 %,20 %,
Computer Science Engineering,B. Tech.,503,49 %,67 %,33 %,47 %,15 %,67 %,56 %,
Mechanical Engineering,B. Tech.,503,51 %,53 %,40 %,60 %,45 %,27 %,00 %,
Computer Science Engineering,B. Tech.,500,49 %,60 %,40 %,47 %,20 %,20 %,20 %,
Electronics and Instrumentation Engineering,B. Tech.,500,56 %,73 %,47 %,47 %,25 %,13 %,00 %,
Electrical Engineering,B. Tech.,500,53 %,40 %,67 %,53 %,20 %,47 %,00 %,
Information Technology,B. Tech.,500,47 %,73 %,20 %,47 %,30 %,27 %,00 %,
Computer Science Engineering,B. Tech.,500,44 %,47 %,47 %,40 %,40 %,53 %,60 %,
Electronics and Instrumentation Engineering,B. Tech.,497,49 %,53 %,47 %,47 %,30 %,27 %,00 %,
Computer Science Engineering,B. Tech.,497,49 %,40 %,53 %,53 %,30 %,40 %,20 %,
Electronics and Communications Engineering,B. Tech.,494,47 %,67 %,07 %,67 %,45 %,20 %,00 %,
Electrical Engineering,B. Tech.,494,49 %,47 %,73 %,27 %,15 %,27 %,60 %,
Computer Science Engineering,B. Tech.,494,49 %,60 %,40 %,47 %,40 %,27 %,00 %,
Mechanical Engineering,B. Tech.,494,51 %,47 %,47 %,60 %,30 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,494,49 %,80 %,40 %,27 %,10 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,494,44 %,47 %,40 %,47 %,55 %,47 %,00 %,
Mechanical Engineering,B. Tech.,494,49 %,53 %,47 %,47 %,40 %,33 %,00 %,
Electrical Engineering,B. Tech.,491,51 %,60 %,27 %,67 %,20 %,27 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,491,51 %,53 %,33 %,67 %,50 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,491,49 %,53 %,27 %,67 %,40 %,40 %,00 %,
Mechanical Engineering,B. Tech.,491,44 %,27 %,20 %,87 %,55 %,47 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,491,56 %,53 %,33 %,80 %,30 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,491,44 %,53 %,20 %,60 %,35 %,13 %,20 %,
Electrical Engineering,B. Tech.,488,47 %,53 %,13 %,73 %,35 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,485,47 %,40 %,53 %,47 %,30 %,20 %,00 %,
Electrical Engineering,B. Tech.,485,49 %,93 %,27 %,27 %,25 %,27 %,00 %,
Electrical Engineering,B. Tech.,485,49 %,33 %,60 %,53 %,35 %,40 %,00 %,
Computer Science Engineering,B. Tech.,485,44 %,40 %,47 %,47 %,25 %,53 %,56 %,
Mechanical Engineering,B. Tech.,485,44 %,47 %,20 %,67 %,45 %,07 %,00 %,
Electrical Engineering,B. Tech.,485,51 %,60 %,27 %,67 %,20 %,27 %,00 %,
Computer Science Engineering,B. Tech.,485,49 %,47 %,33 %,67 %,50 %,27 %,00 %,
Computer Science Engineering,B. Tech.,482,47 %,47 %,40 %,53 %,40 %,20 %,00 %,
Computer Science Engineering,B. Tech.,482,44 %,47 %,33 %,53 %,50 %,47 %,20 %,
Electronics and Communications Engineering,B. Tech.,479,44 %,33 %,47 %,53 %,40 %,27 %,00 %,
Electrical Engineering,B. Tech.,479,47 %,40 %,47 %,53 %,40 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,479,51 %,67 %,27 %,60 %,30 %,00 %,00 %,
Electrical Engineering,B. Tech.,479,44 %,53 %,27 %,53 %,45 %,27 %,00 %,
