
Branch,Degree,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamental,Coding,Placement Status
Mechanical Engineering,B. Tech.,458,40 %,33 %,27 %,60 %,55 %,27 %,00 %,
Mechanical Engineering,B. Tech.,458,44 %,27 %,53 %,53 %,30 %,20 %,00 %,
Electrical Engineering,B. Tech.,458,42 %,60 %,20 %,47 %,55 %,33 %,00 %,
Computer Science Engineering,B. Tech.,455,40 %,20 %,53 %,47 %,30 %,40 %,20 %,
Electronics and Communications Engineering,B. Tech.,455,40 %,33 %,40 %,47 %,50 %,13 %,20 %,
Applied Electronics and Instrumentation,B. Tech.,455,42 %,67 %,27 %,33 %,35 %,27 %,00 %,
Electrical Engineering,B. Tech.,455,40 %,47 %,33 %,40 %,35 %,20 %,00 %,
Mechanical Engineering,B. Tech.,455,42 %,53 %,20 %,53 %,50 %,27 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,452,38 %,47 %,13 %,53 %,30 %,47 %,00 %,
Mechanical Engineering,B. Tech.,452,38 %,40 %,33 %,40 %,65 %,33 %,00 %,
Mechanical Engineering,B. Tech.,452,40 %,40 %,40 %,40 %,25 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,452,40 %,33 %,13 %,73 %,45 %,53 %,20 %,
Mechanical Engineering,B. Tech.,452,38 %,53 %,20 %,40 %,35 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,449,40 %,53 %,40 %,27 %,30 %,27 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,449,38 %,53 %,20 %,40 %,30 %,27 %,00 %,
Mechanical Engineering,B. Tech.,449,40 %,47 %,53 %,20 %,60 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,449,40 %,60 %,27 %,33 %,20 %,40 %,20 %,
Electrical Engineering,B. Tech.,446,38 %,33 %,40 %,40 %,30 %,27 %,20 %,
Mechanical Engineering,B. Tech.,446,40 %,67 %,20 %,33 %,30 %,20 %,00 %,
Computer Science Engineering,B. Tech.,446,40 %,20 %,33 %,67 %,40 %,27 %,00 %,
Electrical Engineering,B. Tech.,446,42 %,47 %,33 %,47 %,20 %,13 %,00 %,
Computer Science Engineering,B. Tech.,446,40 %,33 %,27 %,60 %,35 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,446,38 %,47 %,13 %,53 %,45 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,446,40 %,40 %,27 %,53 %,45 %,20 %,20 %,
Mechanical Engineering,B. Tech.,443,38 %,60 %,07 %,47 %,50 %,33 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,443,40 %,47 %,40 %,33 %,30 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,443,36 %,40 %,13 %,53 %,40 %,20 %,58 %,
Electronics and Communications Engineering,B. Tech.,440,36 %,47 %,13 %,47 %,40 %,27 %,20 %,
Mechanical Engineering,B. Tech.,440,38 %,27 %,53 %,33 %,50 %,33 %,20 %,
Electronics and Communications Engineering,B. Tech.,440,38 %,53 %,13 %,47 %,35 %,20 %,20 %,
Applied Electronics and Instrumentation,B. Tech.,440,40 %,47 %,27 %,47 %,15 %,20 %,00 %,
Mechanical Engineering,B. Tech.,437,36 %,47 %,13 %,47 %,35 %,47 %,00 %,
Electrical Engineering,B. Tech.,437,40 %,33 %,47 %,40 %,35 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,434,38 %,27 %,33 %,53 %,35 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,434,38 %,27 %,33 %,53 %,15 %,20 %,20 %,
Electronics and Communications Engineering,B. Tech.,434,36 %,20 %,33 %,53 %,40 %,33 %,20 %,
Electrical Engineering,B. Tech.,431,36 %,33 %,27 %,47 %,35 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,431,33 %,60 %,27 %,13 %,40 %,27 %,00 %,
Mechanical Engineering,B. Tech.,431,36 %,47 %,20 %,40 %,55 %,13 %,00 %,
Electrical Engineering,B. Tech.,431,33 %,53 %,20 %,27 %,45 %,13 %,00 %,
Electrical Engineering,B. Tech.,428,33 %,40 %,20 %,40 %,40 %,33 %,00 %,
